email_id,labels
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,1
149,0
150,1
151,0
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,0
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,1
285,0
286,1
287,1
288,0
289,0
290,1
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,0
328,0
329,1
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,0
383,0
384,0
385,1
386,1
387,1
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,1
403,0
404,0
405,1
406,0
407,0
408,0
409,1
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,0
